Iteration,Label,Confidence Score,x_min,y_min,x_max,y_max
81,"['wheel', 'wheel']",[0.8031738  0.81167597],"[907.7010498046875, 689.43603515625]","[357.02178955078125, 357.5345153808594]","[1174.0341796875, 909.4195556640625]","[569.3167724609375, 557.0245361328125]"
82,"['wheel', 'wheel']",[0.79565805 0.8080672 ],"[934.6512451171875, 715.0534057617188]","[357.1408996582031, 357.9305114746094]","[1208.0235595703125, 938.9059448242188]","[570.3214111328125, 558.9607543945312]"
83,"['wheel', 'wheel']",[0.79310596 0.81405276],"[961.6382446289062, 743.02734375]","[357.02447509765625, 357.7254333496094]","[1240.4771728515625, 967.893798828125]","[571.6248168945312, 560.0055541992188]"
84,"['wheel', 'wheel', 'wheel']",[0.7295198  0.7866228  0.39840642],"[991.0430908203125, 767.6476440429688, 988.6626586914062]","[357.5114440917969, 357.82537841796875, 357.7727966308594]","[1272.979248046875, 998.6749877929688, 1119.190185546875]","[573.9641723632812, 561.1915283203125, 541.7098999023438]"
85,"['wheel', 'wheel']",[0.7866228 0.7401744],"[792.9290161132812, 1017.0260009765625]","[357.3146667480469, 357.20672607421875]","[1029.2628173828125, 1279.1959228515625]","[561.8093872070312, 574.4715576171875]"
86,"['wheel', 'wheel']",[0.7892337  0.76629364],"[818.13427734375, 1046.471923828125]","[357.2953186035156, 357.55682373046875]","[1059.8759765625, 1279.583984375]","[563.873291015625, 575.13427734375]"
87,"['wheel', 'wheel']",[0.7592254  0.73866904],"[842.809326171875, 1074.4981689453125]","[357.13458251953125, 356.94378662109375]","[1090.95068359375, 1279.7197265625]","[564.9857177734375, 575.7109985351562]"
88,"['wheel', 'wheel']",[0.79182106 0.77321637],"[866.7303466796875, 1103.6297607421875]","[357.0917053222656, 356.39892578125]","[1123.1312255859375, 1279.2711181640625]","[567.0005493164062, 575.8814086914062]"
89,"['wheel', 'wheel']",[0.7676898  0.74167407],"[890.8187255859375, 1132.9588623046875]","[356.9818420410156, 356.9650573730469]","[1156.5926513671875, 1279.341064453125]","[568.0823364257812, 575.967041015625]"
90,"['wheel', 'wheel']",[0.80685264 0.66974485],"[917.2220458984375, 1162.15771484375]","[356.7687072753906, 357.8579406738281]","[1188.7479248046875, 1279.561279296875]","[569.8685913085938, 575.6796264648438]"
91,"['wheel', 'wheel']",[0.80069196 0.6109178 ],"[942.9321899414062, 1191.255615234375]","[356.5845947265625, 358.90814208984375]","[1221.4180908203125, 1279.54248046875]","[570.4876098632812, 566.8621826171875]"
92,"['wheel', 'wheel']",[0.78530854 0.5992507 ],"[969.2657470703125, 1221.451171875]","[356.35504150390625, 364.9114990234375]","[1254.960205078125, 1279.5435791015625]","[572.0680541992188, 555.3486938476562]"
93,['wheel'],[0.8824279],[995.0601806640625],[356.6481018066406],[1278.9964599609375],[573.7786865234375]
94,['wheel'],[0.8824279],[1020.1679077148438],[356.0680236816406],[1279.1483154296875],[576.0280151367188]
95,['wheel'],[0.9046505],[1047.644287109375],[355.47930908203125],[1279.3408203125],[576.3351440429688]
96,['wheel'],[0.9032942],[1073.718505859375],[355.32244873046875],[1279.280029296875],[576.5922241210938]
97,['wheel'],[0.9005298],[1101.5391845703125],[354.857421875],[1279.0050048828125],[577.0989990234375]
98,['wheel'],[0.8749346],[1129.018798828125],[355.3347473144531],[1279.148681640625],[576.5841064453125]
99,['wheel'],[0.8080672],[1156.6866455078125],[356.35504150390625],[1279.27783203125],[574.17578125]
100,['wheel'],[0.81640637],[1184.487548828125],[359.4801940917969],[1279.340576171875],[560.6024780273438]
101,['wheel'],[0.8198933],[1214.053955078125],[369.83721923828125],[1279.479248046875],[551.8507080078125]
102,['wheel'],[0.82782817],[1242.12841796875],[386.5821533203125],[1279.3900146484375],[535.9395751953125]
103,n/a,n/a,0,0,0,0
104,n/a,n/a,0,0,0,0
105,n/a,n/a,0,0,0,0
106,n/a,n/a,0,0,0,0
107,n/a,n/a,0,0,0,0
108,n/a,n/a,0,0,0,0
109,n/a,n/a,0,0,0,0
110,n/a,n/a,0,0,0,0
111,n/a,n/a,0,0,0,0
112,n/a,n/a,0,0,0,0
113,n/a,n/a,0,0,0,0
114,n/a,n/a,0,0,0,0
115,n/a,n/a,0,0,0,0
116,n/a,n/a,0,0,0,0
117,n/a,n/a,0,0,0,0
118,n/a,n/a,0,0,0,0
119,n/a,n/a,0,0,0,0
120,n/a,n/a,0,0,0,0
121,n/a,n/a,0,0,0,0
122,n/a,n/a,0,0,0,0
123,n/a,n/a,0,0,0,0
124,n/a,n/a,0,0,0,0
125,n/a,n/a,0,0,0,0
126,n/a,n/a,0,0,0,0
127,n/a,n/a,0,0,0,0
128,n/a,n/a,0,0,0,0
129,n/a,n/a,0,0,0,0
130,n/a,n/a,0,0,0,0
131,n/a,n/a,0,0,0,0
